
Count Name
    8 C:\unificard\backend\src\modules\social-actions\social-actions.repository.ts
    8 C:\unificard\backend\src\modules\marketplace\inventory-balance.repository.ts
    8 C:\unificard\backend\src\modules\live-chat\chat-message.repository.ts
    8 C:\unificard\backend\src\core\calendar\unified-calendar.service.ts
    8 C:\unificard\backend\src\core\catalog\canonical\canonical-product.service.ts
    8 C:\unificard\backend\src\modules\marketplace\tax-profile.repository.ts
    8 C:\unificard\backend\src\modules\rides\drivers\vehicles\vehicles.service.ts
    8 C:\unificard\backend\src\modules\social\social-marketplace-ref.repository.ts
    8 C:\unificard\backend\src\modules\marketplace\company-profile.repository.ts
    8 C:\unificard\backend\src\modules\marketplace\business-segment.repository.ts
    7 C:\unificard\backend\src\core\economy\accounts\account.service.ts
    7 C:\unificard\backend\src\modules\marketplace\fiscal-provider-attempt.repository.ts
    7 C:\unificard\backend\src\modules\profile\commitments.routes.ts
    7 C:\unificard\backend\src\core\events\event-rsvp.service.ts
    7 C:\unificard\backend\src\modules\marketplace\product-price.repository.ts
    7 C:\unificard\backend\src\modules\bank\bank-split.repository.ts
    7 C:\unificard\backend\src\core\categories\categories.service.ts
    7 C:\unificard\backend\src\modules\work\jobs\job.service.ts
    7 C:\unificard\backend\src\core\publication\publication-engine.service.ts
    7 C:\unificard\backend\src\modules\marketplace\supplier.repository.ts
    7 C:\unificard\backend\src\modules\social\actor.repository.ts
    7 C:\unificard\backend\src\modules\human-mvp\human-mvp-activity-execution.service.ts
    7 C:\unificard\backend\src\modules\marketplace\inventory-movement.repository.ts
    7 C:\unificard\backend\src\modules\marketplace\order-status-history.repository.ts
    7 C:\unificard\backend\src\core\events\idempotency-tracker.ts
    7 C:\unificard\backend\src\modules\rides\services\lifecycle.service.ts
    7 C:\unificard\backend\src\scripts\test-dev-login.ts
    7 C:\unificard\backend\src\modules\marketplace\order-item.repository.ts
    7 C:\unificard\backend\src\services\employee\employee.routes.ts
    7 C:\unificard\backend\src\modules\marketplace\payment-method.repository.ts
    7 C:\unificard\backend\src\core\catalog\offer-index\offer-index.service.ts
    6 C:\unificard\backend\src\modules\work\assignments\assignment.service.ts
    6 C:\unificard\backend\src\modules\events\events-state-history.routes.ts
    6 C:\unificard\backend\src\modules\presence\checkin-token.repository.ts
    6 C:\unificard\backend\src\core\reporting\models\Report.ts
    6 C:\unificard\backend\src\core\simulation\event-log.source.ts
    6 C:\unificard\backend\src\core\referral\referral-helper.service.ts
    6 C:\unificard\backend\src\core\rate-limiting\auth-rate-limit.service.ts
    6 C:\unificard\backend\src\services\feed\FeedService.ts
    6 C:\unificard\backend\src\modules\subscriptions\subscription.service.ts
    6 C:\unificard\frontend\src\api\service-discovery.ts
    6 C:\unificard\backend\src\core\world\world.types.ts
    6 C:\unificard\backend\src\modules\rides\pricing\pricing.service.ts
    6 C:\unificard\backend\src\core\companies\company-canonical.service.ts
    6 C:\unificard\backend\src\core\world\repositories\city.repository.ts
    6 C:\unificard\backend\src\core\world\repositories\country.repository.ts
    6 C:\unificard\backend\tests\integration\bank-invariants.test.ts
    6 C:\unificard\backend\src\modules\catalog\offer.service.ts
    6 C:\unificard\backend\src\modules\events\events-multi-actor.service.ts
    6 C:\unificard\frontend\src\api\events.ts
    6 C:\unificard\backend\src\core\notify\notify.types.ts
    6 C:\unificard\frontend\src\api\cultural.ts
    6 C:\unificard\backend\src\core\profile\profile-health.repository.ts
    6 C:\unificard\backend\src\modules\marketplace\real-margin.service.ts
    5 C:\unificard\backend\src\modules\services\service-payment-request.types.ts
    5 C:\unificard\backend\src\modules\social\social-votes.service.ts
    5 C:\unificard\frontend\src\components\social\PostCard.tsx
    5 C:\unificard\frontend\src\components\events\wizard\Step3Context.tsx
    5 C:\unificard\backend\src\modules\marketplace\fiscal-provider.mock.ts
    5 C:\unificard\backend\src\modules\organization\organization-role.repository.ts
    5 C:\unificard\backend\src\modules\marketplace\unifycard-method.repository.ts
    5 C:\unificard\backend\src\modules\marketplace\group.repository.ts
    5 C:\unificard\backend\tests\integration\donation.test.ts
    5 C:\unificard\backend\src\scripts\reset-database-complete.ts
    5 C:\unificard\backend\src\modules\marketplace\store-onboarding.service.ts
    5 C:\unificard\backend\src\modules\rides\drivers\availability\availability.service.ts
    5 C:\unificard\backend\src\modules\rides\drivers\drivers.routes.ts
    5 C:\unificard\backend\src\scripts\seed-dev-groups.ts
    5 C:\unificard\backend\src\modules\services\service-payment-execution.types.ts
    5 C:\unificard\backend\src\modules\votes\votes.routes.ts
    5 C:\unificard\frontend\src\components\events\wizard\EventFoundationStep.tsx
    5 C:\unificard\backend\src\modules\marketplace\fiscal-issuance.service.ts
    5 C:\unificard\backend\src\core\catalog\category-review.service.ts
    5 C:\unificard\backend\src\core\tenants\__tests__\tenant-context-permissions.test.ts
    5 C:\unificard\backend\src\modules\dispatch\opportunity-dispatch.types.ts
    5 C:\unificard\backend\scripts\grant-groups-create-permission.ts
    5 C:\unificard\backend\src\core\economy\fund\fund-weekly-report.service.ts
    5 C:\unificard\backend\src\modules\events\organizers\organizer-plans.service.ts
    5 C:\unificard\backend\src\modules\events\organizers\organizers.routes.ts
    5 C:\unificard\backend\src\core\reviews\review.service.ts
    5 C:\unificard\backend\src\core\residence\residence.service.ts
    5 C:\unificard\backend\src\modules\groups\groups-state-history.routes.ts
    5 C:\unificard\backend\src\core\rbac\role.service.ts
    5 C:\unificard\backend\src\core\profile\profile-physical.service.ts
    5 C:\unificard\backend\src\core\db\migrate.ts
    5 C:\unificard\backend\src\modules\live-chat\chat-room.repository.ts
    5 C:\unificard\backend\src\core\feed\feed-plugin.service.ts
    5 C:\unificard\backend\scripts\seed-financial-bootstrap.ts
    5 C:\unificard\backend\src\core\pilot\pilot-notes.repository.ts
    5 C:\unificard\backend\src\core\pilot\pilot-hypotheses.repository.ts
    5 C:\unificard\backend\src\modules\live-chat\chat-report.repository.ts
    4 C:\unificard\backend\src\modules\rides\safety\safety.routes.ts
    4 C:\unificard\frontend\src\api\social-2.0.ts
    4 C:\unificard\backend\src\services\events\TicketService.ts
    4 C:\unificard\backend\src\modules\services\services.routes.ts
    4 C:\unificard\backend\src\core\economy\fund\fund-visibility.service.ts
    4 C:\unificard\backend\src\core\events\event-metrics.service.ts
    4 C:\unificard\backend\src\core\root-config\root-config.repository.ts
    4 C:\unificard\backend\src\modules\rides\zones\zones.service.ts
    4 C:\unificard\backend\src\services\events\tests\event_checkout_hardening.test.ts
    4 C:\unificard\backend\src\modules\rides\vehicles\vehicles.routes.ts
    4 C:\unificard\backend\src\modules\social-chat\social-chat.repository.ts
    4 C:\unificard\backend\src\core\economy\referral-split.service.ts
    4 C:\unificard\backend\src\core\reporting\models\RiskFlag.ts
    4 C:\unificard\backend\src\modules\social\social-group-insights.routes.ts
    4 C:\unificard\backend\src\modules\reports\inventory-report.service.ts
    4 C:\unificard\backend\src\core\publication\publication-engine.types.ts
    4 C:\unificard\backend\src\core\unifybank\test-currency.service.ts
    4 C:\unificard\backend\tests\integration\bank-rides-integration.test.ts
    4 C:\unificard\backend\src\modules\rides\location\location.service.ts
    4 C:\unificard\backend\src\modules\rides\matching\matching.routes.ts
    4 C:\unificard\backend\src\modules\rides\ride-requests\ride-requests.service.ts
    4 C:\unificard\backend\src\core\profile\profile-education.service.ts
    4 C:\unificard\backend\src\scripts\test-profile-persistence.ts
    4 C:\unificard\backend\src\core\reputation\__tests__\debt-blocking.test.ts
    4 C:\unificard\backend\src\modules\rides\distribution\distribution.service.ts
    4 C:\unificard\backend\src\services\events\ConsumptionService.ts
    4 C:\unificard\backend\src\core\companies\company-members.repository.ts
    4 C:\unificard\backend\src\core\categories\categories.model.ts
    4 C:\unificard\backend\src\core\core.service.ts
    4 C:\unificard\backend\src\core\config\config.types.ts
    4 C:\unificard\backend\src\modules\marketplace\commission.repository.ts
    4 C:\unificard\backend\src\modules\live-chat\chat-block.repository.ts
    4 C:\unificard\backend\src\core\dashboard\daily-metrics.service.ts
    4 C:\unificard\backend\src\scripts\list-recent-users.ts
    4 C:\unificard\backend\src\modules\events\occupancy.types.ts
    4 C:\unificard\backend\src\modules\inbox\social-inbox.types.ts
    4 C:\unificard\backend\src\modules\events\event-metrics-dashboard.service.ts
    4 C:\unificard\backend\src\scripts\migrate-physical-categories.ts
    4 C:\unificard\backend\src\modules\marketplace\referral.repository.ts
    4 C:\unificard\backend\src\scripts\check-profile-address.ts
    4 C:\unificard\backend\src\core\world\repositories\state.repository.ts
    4 C:\unificard\backend\src\modules\work\applications\application.service.ts
    4 C:\unificard\backend\src\scripts\check-pizzaiolo-hierarchy.ts
    4 C:\unificard\backend\src\modules\marketplace\financial-agenda.service.ts
    4 C:\unificard\frontend\src\pages\ServiceDiscoveryPage.tsx
    4 C:\unificard\backend\src\modules\votes\votes.service.ts
    4 C:\unificard\backend\src\modules\marketplace\marketplace-categories.service.ts
    4 C:\unificard\backend\src\modules\marketplace\payment-split.repository.ts
