"Timestamp","Action","Class","From","To","SHA256"
"20260122-071728","MOVE","decisions","C:\unificard\docs\architecture\padrao_arquitetural_modulos.md","C:\unificard\docs\02_decisions\padrao_arquitetural_modulos.md","DC39D5E5E4B3B1509405629344E5CD56B8A464C2E40EAEC46260AA98A8A88FC0"
"20260122-071728","MOVE","technical","C:\unificard\docs\architecture\SOLUCAO_FINAL_REFERRAL_CPF_SPLIT.md","C:\unificard\docs\03_technical\SOLUCAO_FINAL_REFERRAL_CPF_SPLIT.md","71B86307BC0E8B0E696347E3D1920117B630E0F6DB86E87DA96843D47F33C7E9"
"20260122-071728","MOVE","normative","C:\unificard\docs\BACKEND\00_CONTRATOS_TECNICOS\dados\Database_Canonical_Truth_Contract.md","C:\unificard\docs\01_normative\Database_Canonical_Truth_Contract.md","3B73A798683F763AD2FD2FABCF6852BE845C6898B01974C271308B94FDB92B73"
"20260122-071728","MOVE","normative","C:\unificard\docs\BACKEND\00_CONTRATOS_TECNICOS\decisao\DECISION_CORE_CONTRACT.md","C:\unificard\docs\01_normative\DECISION_CORE_CONTRACT.md","55197FD35702F1939F43ED5A3F2DD8B9604CA317751FA932CB57F4515B3BF0F9"
"20260122-071728","MOVE","normative","C:\unificard\docs\BACKEND\00_CONTRATOS_TECNICOS\decisao\DECISION_SAFETY_AND_CONTAINMENT_CONTRACT.md","C:\unificard\docs\01_normative\DECISION_SAFETY_AND_CONTAINMENT_CONTRACT.md","D9B594291A8BF5577CD9DB11CD2BA708768E04DB0199C6A4F7ECB7187429BB21"
"20260122-071728","MOVE","normative","C:\unificard\docs\BACKEND\00_CONTRATOS_TECNICOS\eventos\AGENDA_UNIVERSAL_CONTRACT.md","C:\unificard\docs\01_normative\AGENDA_UNIVERSAL_CONTRACT.md","B1DAC372524BBC8EBCE2A6F2D45EE7EA4CEDFE24FC3F0C6C5FB4D07A4A95D613"
"20260122-071728","MOVE","normative","C:\unificard\docs\BACKEND\00_CONTRATOS_TECNICOS\eventos\EVENT_DOMAIN_MINIMUM_CONTRACT.md","C:\unificard\docs\01_normative\EVENT_DOMAIN_MINIMUM_CONTRACT.md","A057032EDE672ABDBC2E015B2143D6369C7C7830D73D612F3AE2A9F7C0437BB3"
"20260122-071728","MOVE","normative","C:\unificard\docs\BACKEND\00_CONTRATOS_TECNICOS\identidade\IDENTITY_CORE_CONTRACT.md","C:\unificard\docs\01_normative\IDENTITY_CORE_CONTRACT.md","5C662CDBA486D9371A5B109C37619EB41DD51FD9754C4F0ECDBB5E3E5B006BD6"
"20260122-071728","MOVE","normative","C:\unificard\docs\BACKEND\00_CONTRATOS_TECNICOS\identidade\USER_PROFILE_CONTRACT.md","C:\unificard\docs\01_normative\USER_PROFILE_CONTRACT_20260122-071728.md","FE3ACB4197AD641B967DE8AE1E8AF0A39F2E60F5164E7E31EAA26FABC05DBCED"
"20260122-071728","MOVE","normative","C:\unificard\docs\BACKEND\00_CONTRATOS_TECNICOS\integridade\CORE_VS_MODULOS_CONTRACT.md","C:\unificard\docs\01_normative\CORE_VS_MODULOS_CONTRACT.md","EC44079397E8E4660367FB993EECF21940390A36898785EA3F327C0B07177A59"
"20260122-071728","MOVE","normative","C:\unificard\docs\BACKEND\00_CONTRATOS_TECNICOS\integridade\FRONTEND_BACKEND_CONTRACT.md","C:\unificard\docs\01_normative\FRONTEND_BACKEND_CONTRACT.md","DE8203A3AC87CB99A34394D589F0F4757D723D78F9AC01DC8AB50DE4BCBE27D5"
"20260122-071728","MOVE","normative","C:\unificard\docs\BACKEND\01_REGRAS_E_INVARIANTES\CORE_IMUTAVEL.md","C:\unificard\docs\01_normative\CORE_IMUTAVEL.md","42A2BB54DC8A17A2FA0FC99265A9E031E64001994BABEA3B01BEEAC7F0B51F79"
"20260122-071728","MOVE","normative","C:\unificard\docs\BACKEND\01_REGRAS_E_INVARIANTES\CORE_TEMPORAL_HARDENING_CONTRACT.md","C:\unificard\docs\01_normative\CORE_TEMPORAL_HARDENING_CONTRACT.md","A917B3596E31B5479F5D19AFFDEF74F400D2A77EEAE5A4C18DD86F435D3CC73A"
"20260122-071728","MOVE","normative","C:\unificard\docs\BACKEND\01_REGRAS_E_INVARIANTES\DECISION_CORE_HARDENING_CONTRACT.md","C:\unificard\docs\01_normative\DECISION_CORE_HARDENING_CONTRACT.md","00E9320715F3C65561F44EB24FD22D4A8EC1F10E78B195C94B6F62B17918192E"
"20260122-071728","MOVE","technical","C:\unificard\docs\BACKEND\02_PROTOCOLOS_DE_IMPLEMENTACAO\MOMENTO DE FECHAMENTO DO EVENTSPEC.txt","C:\unificard\docs\03_technical\MOMENTO DE FECHAMENTO DO EVENTSPEC.txt","C3359D04C600EE7A52ADA2ADF9C6401053A146FB7EDF46EBA75DF3858832DB9F"
"20260122-071728","MOVE","normative","C:\unificard\docs\contracts\CONTRATO_EVENTOS_V1.2.md","C:\unificard\docs\01_normative\CONTRATO_EVENTOS_V1.2.md","C240D9C43EAD31BFC0D853480110CC7CEC435F40D4BF8E1D70400B43D7727C2B"
"20260122-071728","MOVE","normative","C:\unificard\docs\contracts\CONTRATO_EVENTOS_V1.3.md","C:\unificard\docs\01_normative\CONTRATO_EVENTOS_V1.3.md","81F7A004D35DA3C23991FE771D64AB92F3F0BDCC804569825E2B3147F4F493FF"
"20260122-071728","MOVE","normative","C:\unificard\docs\contracts\CONTRATO_EVENTOS_V1.4_SECAO_5.10.md","C:\unificard\docs\01_normative\CONTRATO_EVENTOS_V1.4_SECAO_5.10.md","ABCF012886B30A040BD2BD2DF5E2B79B4FC5F0571B03753B6E0C650CF9F69B18"
