"File","From","To","Class"
"PLANO_DE_PRS_CONSOLIDADO.md","ROOT","99_archive\to_review","review"
"PRODUCTION_DEPLOY.md","ROOT","99_archive\to_review","review"
"PROMPT_1_AGENDA_FUNCIONARIOS_FINAL.md","ROOT","04_guides","guides"
"PROMPT_6_HARDENING.md","ROOT","04_guides","guides"
"PROMPT_CORRECOES_TS.md","ROOT","04_guides","guides"
"PROPOSTA_FEED_COMO_FACILITADOR.md","ROOT","04_guides","guides"
"PROPOSTA_STEP2_INTENCAO_FINAL.md","ROOT","99_archive\to_review","review"
"PROPOSTA_STEP2_INTENCAO.md","ROOT","99_archive\to_review","review"
"PROPOSTA_UNIFIED_AVAILABILITY.md","ROOT","99_archive\to_review","review"
"QUERIES_VALIDACAO_INVARIANTES.sql","ROOT","99_archive\to_review","review"
"READ_MODELS_CONTRATO.md","ROOT","01_normative","normative"
"REGULAMENTO_EXECUCAO.md","ROOT","99_archive\to_review","review"
"RELATORIO_ALTERACOES_3H.md","ROOT","99_archive\to_review","review"
"RELATORIO_FASE1_SPLIT_PAGAMENTO.md","ROOT","99_archive\to_review","review"
"RELATORIO_ORGANIZACAO.md","ROOT","99_archive\to_review","review"
"RELEASE_CANDIDATE_v1.0-rc1.md","ROOT","99_archive\to_review","review"
"REORGANIZACAO-FISICO-PRAZER.md","ROOT","99_archive\to_review","review"
"REPORTING_CORE.md","ROOT","99_archive\to_review","review"
"REPORTING_DATA_MODEL.md","ROOT","99_archive\to_review","review"
"RESUMO_EXECUTIVO_MVP.md","ROOT","99_archive\to_review","review"
"seed-refactor-levels-0-1-2.md","ROOT","99_archive\to_review","review"
"SERVICE_AVAILABILITY_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"SERVICE_BOOKING_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"SERVICE_PAYMENT_EXECUTION_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"SERVICE_PAYMENT_REQUEST_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"SERVICOS_DOMAIN_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"SMOKE_TESTS.md","ROOT","99_archive\to_review","review"
"SOCIAL_INBOX_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"SPLIT_ENGINE_ESTADO_ATUAL.md","ROOT","99_archive\to_review","review"
"STAGING_DEPLOY.md","ROOT","99_archive\to_review","review"
"STRIPE_LIVE_SETUP.md","ROOT","99_archive\to_review","review"
"TAXA_ADMINISTRATIVA.md","ROOT","99_archive\to_review","review"
"TAXONOMIA-GLOBAL-UNIFICARD.md","ROOT","99_archive\to_review","review"
"TEST_OVERRIDE_USERS.md","ROOT","99_archive\to_review","review"
"TESTE_FLUXO_SERVICE_ORDERS.md","ROOT","99_archive\to_review","review"
"TRANSICOES_ESTADO_READONLY.md","ROOT","99_archive\to_review","review"
"TRAVAS-FINAIS.md","ROOT","99_archive\to_review","review"
"TRILHA-APRENDIZADO.md","ROOT","99_archive\to_review","review"
"TYPESCRIPT_FIX_REPORT.md","ROOT","99_archive\to_review","review"
"unificard-context.md","ROOT","99_archive\to_review","review"
"UNIFIED_AVAILABILITY_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"VALIDACAO_FASE9_ETAPA1.md","ROOT","99_archive\to_review","review"
"VALIDACAO_POS_IMPLEMENTACAO.md","ROOT","99_archive\to_review","review"
"VERIFICACAO_CONFORMIDADE_CANONICA.md","ROOT","99_archive\to_review","review"
"VISAO_ECONOMICA_PASSIVA.md","ROOT","99_archive\to_review","review"
