"FileName","FullPath","SHA256","SizeKB","Reasons"
"FASE_5_CHECKLIST_QA_TESTES.md","C:\unificard\docs\02_decisions\FASE_5_CHECKLIST_QA_TESTES.md","8236AB8D8DBB38E79AE48AA0D4366C4A898DDF1A6F844F3B29E103B8E0E9BDD0","2","operational-doc"
"FASE_6_1_CHECKLIST_PR_FRONTEND.md","C:\unificard\docs\02_decisions\FASE_6_1_CHECKLIST_PR_FRONTEND.md","567A3A6F03813B0A2ECC339F4A2EC1B460C8AB66212036C2D946BEFDC7B68063","1,56","operational-doc"
"FASE_6_CHECKLIST_PR.md","C:\unificard\docs\02_decisions\FASE_6_CHECKLIST_PR.md","E1DA317D366869D3703F1887AC6234539A0F0B1B0ADFA699EB2C1623452EFCB3","1,97","operational-doc"
"FASE_6_CHECKLIST_QA.md","C:\unificard\docs\02_decisions\FASE_6_CHECKLIST_QA.md","57599F0F2BB9E0D0130190BC8047B25718733770EBCF576CFB4BC47FD970EB8A","2,71","operational-doc"
"frontend-profile-categories-checklist.md","C:\unificard\docs\02_decisions\frontend-profile-categories-checklist.md","BC004984B031EEBFCC979BCAEF09ED72FE85457DA83D96C9A7AAA319194B7274","3,17","operational-doc"
"frontend-profile-final-checklist.md","C:\unificard\docs\02_decisions\frontend-profile-final-checklist.md","3CD5C5A63B09C94F99211EEB2C1F1838976A1CC0D2FD5074FDDF8DF255766E03","1,8","operational-doc"
"GATE_D15_INDEXACAO.md","C:\unificard\docs\02_decisions\GATE_D15_INDEXACAO.md","58D1AF9D69C52D79902E830D4EAF78EBE3EB67FDB63C0A59872ECF1A2D1AA0AC","3,12","operational-doc"
"golden_path_smoke_test.md","C:\unificard\docs\02_decisions\golden_path_smoke_test.md","A582F96300633579A727F4BF3B29956378006E89B95FF95135C82425B83295BF","8,1","discard-token"
"golden_path.md","C:\unificard\docs\02_decisions\golden_path.md","FE9B25C56CF837EAA3C8E1F803F7F60E678F60649CC42112322CE529D75C3303","2,6","discard-token"
"groups-category-validation-checklist.md","C:\unificard\docs\02_decisions\groups-category-validation-checklist.md","4AAEF956FD571A472B496A8EC6D4D88511D039289CCBECD09302AE453DA307FC","2,56","operational-doc"
"implementacao_identity_status_gate_20260122-073046.md","C:\unificard\docs\02_decisions\implementacao_identity_status_gate_20260122-073046.md","1ADBDC4DEFB1A781BC531C15C76F1A9006573AAB63C41C472ADFA66765E8CB4B","7,64","operational-doc"
"PRODUCTION_CHECKLIST.md","C:\unificard\docs\02_decisions\PRODUCTION_CHECKLIST.md","54AAFE5A0A8AEE4791F273AEE6E3B998DA906C5D8D5A49DE1BD83ECC4375E7D0","3,18","operational-doc"
"profile-final-checklist.md","C:\unificard\docs\02_decisions\profile-final-checklist.md","3990BE5827832F25363D002C57D79D17D8C03B38645F172AAB8FA8D91D1D5BD0","3,79","operational-doc"
"profile-validation-checklist.md","C:\unificard\docs\02_decisions\profile-validation-checklist.md","CF442E34CC65F5C41B381220C3CDDEB50E3A7A4FBA45E47788F1B73F2E79B1DE","5,57","operational-doc"
"setup-category-input-gate.md","C:\unificard\docs\02_decisions\setup-category-input-gate.md","ACEB0670C24E29E87D71FA84B73C3C2C639AFCD9D0A93B373B281F0014EACA5F","2,92","operational-doc"
"smoke_test_checklist.md","C:\unificard\docs\02_decisions\smoke_test_checklist.md","6C5D1C7F1B13F7E7DE3F85ECF0222385E76996E71EEF5389F1F4C0277DD8C67F","4,32","operational-doc"
"smoke-test-checklist.md","C:\unificard\docs\02_decisions\smoke-test-checklist.md","34201521FCFEBFF7831780EDF116DE2C397205600A9121ED4554BDDC33509E1A","4,99","operational-doc"
"SPRINT_00_CONTACTS.md","C:\unificard\docs\02_decisions\SPRINT_00_CONTACTS.md","37E26A700F53CED88A359CD64A42ED1F79E8A0ED8142CF0220FD1DA8D9444DEA","7,98","operational-doc"
"SPRINT_1_UNIFY_BANK_TAREFAS_ATOMICAS.md","C:\unificard\docs\02_decisions\SPRINT_1_UNIFY_BANK_TAREFAS_ATOMICAS.md","20C014F6F8F359147BA89F22ED398B03660DAE997FAC617742CC59B5F34C2761","41,7","operational-doc"
"SPRINT_41.2_HARDENING.md","C:\unificard\docs\02_decisions\SPRINT_41.2_HARDENING.md","01D5DD2A129A0E5035FC88FAB3A698D2D149CAA98BEBFC8ACE8728B97804633B","5,94","operational-doc"
"SPRINT_41.3_UX_OPERACIONAL.md","C:\unificard\docs\02_decisions\SPRINT_41.3_UX_OPERACIONAL.md","BB31AAA46796F459B1F63A879A7BFAC2B21140155F2A70A8474D1D1CE2AA2E1B","6,5","operational-doc"
"SPRINT_42.1_PDV_CORE.md","C:\unificard\docs\02_decisions\SPRINT_42.1_PDV_CORE.md","6266747BBFA3FA479223506D2F0F1216A1E0B52CED20A7A5380F085473F783DF","8,13","operational-doc"
"SPRINT_42.2_PDV_PAGAMENTO.md","C:\unificard\docs\02_decisions\SPRINT_42.2_PDV_PAGAMENTO.md","451714D50C1F80244E262B25C9B5803CDC2B26B4065398D06D3831EFD87D183D","6","operational-doc"
"SPRINT_42.3_PDV_FECHAMENTO.md","C:\unificard\docs\02_decisions\SPRINT_42.3_PDV_FECHAMENTO.md","74351DF607B239F0306C70448F7E42FBFF97449A4CA6C8D6A88D7DD8330DDF3E","6,69","operational-doc"
"SPRINT_43_ESTOQUE_RESERVA.md","C:\unificard\docs\02_decisions\SPRINT_43_ESTOQUE_RESERVA.md","506DD97995A7537086AD886CA288D2FCDC4EB357649E13D7E4F5DD80D7BCE37C","7,56","operational-doc"
"SPRINT_44_DOCUMENTO_FISCAL.md","C:\unificard\docs\02_decisions\SPRINT_44_DOCUMENTO_FISCAL.md","4F45CE01CDB19965B89ABF90B25578C18B162B0A48B936F1009BFEBBECE9576A","5,7","operational-doc"
"SPRINT_45_FISCAL_ADAPTER.md","C:\unificard\docs\02_decisions\SPRINT_45_FISCAL_ADAPTER.md","D93F6F9024049C81A465ACBEE54480522CA6230B22BADABD6D41B7343931801E","6,18","operational-doc"
"SPRINT_46_RELATORIOS.md","C:\unificard\docs\02_decisions\SPRINT_46_RELATORIOS.md","A73B2319C6EF802FC964D27BED04979EC2C303ECF47E1586D975C033C47862C3","6,91","operational-doc"
"SPRINT_47_SOCIAL_MARKETPLACE_PLUGIN.md","C:\unificard\docs\02_decisions\SPRINT_47_SOCIAL_MARKETPLACE_PLUGIN.md","6967C0B469388FAE74F08C005DA7C8C108575045C885C8CCB74BB2C4BC1450C0","6,59","operational-doc"
"SPRINT_48_PRICING.md","C:\unificard\docs\02_decisions\SPRINT_48_PRICING.md","D12A714AB537F2BFABD127B0CE2E4738FA887E09898C786207B545E21E2652EC","7,43","operational-doc"
"SPRINT_49_DASHBOARDS.md","C:\unificard\docs\02_decisions\SPRINT_49_DASHBOARDS.md","23BA4A987BC2D6697AAE739B381EDFEF093934D01D24B5E6CFF790D8A387ACEF","6,43","operational-doc"
"SPRINT_50_AUTOMACOES.md","C:\unificard\docs\02_decisions\SPRINT_50_AUTOMACOES.md","BE97F61609658B1EBC9BFAA18ACA368A3D6E8FE220580760C6F2E66D881BEC1E","8,55","operational-doc"
"SPRINT_51_MULTI_EMPRESA.md","C:\unificard\docs\02_decisions\SPRINT_51_MULTI_EMPRESA.md","54551F9121E4E6E4EBA8A111E55FEFD458B165E7AB64ABC8B6E77F4B446FF299","9,95","operational-doc"
"SPRINT_52_PERFORMANCE_HARDENING.md","C:\unificard\docs\02_decisions\SPRINT_52_PERFORMANCE_HARDENING.md","3AE28254E585201FC66D555386F0B0AA67F03A4C6987410D35B3C3EC1C6E4786","6,95","operational-doc"
"SPRINT_53_FISCAL_PROVIDER_SEFAZ.md","C:\unificard\docs\02_decisions\SPRINT_53_FISCAL_PROVIDER_SEFAZ.md","14DCC77865FF2FBA50E8B54EE80490B4EBA04A16CED77D076E1614F2DAA30DA2","6,74","operational-doc"
"SPRINT_54_FULFILLMENT.md","C:\unificard\docs\02_decisions\SPRINT_54_FULFILLMENT.md","1C4E530E18AB0DF07907B3BDD0D72E42F90EFCBF6D2AFEC47D9D439B3B4E667A","6,43","operational-doc"
"SPRINT_55_STOCK_TRANSFER.md","C:\unificard\docs\02_decisions\SPRINT_55_STOCK_TRANSFER.md","5A7B7FCE053EC65932D1EED4173B5B6A4979DFD531826425CDB1B9886B71CE9A","6,85","operational-doc"
"SPRINT_56_RECEBIMENTO_CONFERENCIA.md","C:\unificard\docs\02_decisions\SPRINT_56_RECEBIMENTO_CONFERENCIA.md","F9D51B475E7547AAA58205A9B2FBD7410E4559EC04CD374C2979C060988884CD","7,51","operational-doc"
"SPRINT_57_AJUSTES_ESTOQUE.md","C:\unificard\docs\02_decisions\SPRINT_57_AJUSTES_ESTOQUE.md","A9013579EC2CAB39F5D9F327348BB6C0B99A671CEAFA0152FF36BD38243743D7","6,29","operational-doc"
"SPRINT_58_SLA_LOGISTICO.md","C:\unificard\docs\02_decisions\SPRINT_58_SLA_LOGISTICO.md","FC8303C9CF7FE563EC7058F8817291DE1E26FF544C9CFDC620F071BABE2B5D94","6","operational-doc"
"SPRINT_59_SUGESTAO_REPOSICAO.md","C:\unificard\docs\02_decisions\SPRINT_59_SUGESTAO_REPOSICAO.md","D8B1397A8F60AD02F591E9C3B841FC3A10585D4628C56878456DBD121F445BCF","7,3","operational-doc"
"SPRINT_60_CUSTO_ESTOQUE_PARADO.md","C:\unificard\docs\02_decisions\SPRINT_60_CUSTO_ESTOQUE_PARADO.md","D83E9E5AA86712B126FA0FBC03E2EAA742705AF8B11A4E85322B0D683535CB59","6,62","operational-doc"
"SPRINT_61_MARGEM_REAL.md","C:\unificard\docs\02_decisions\SPRINT_61_MARGEM_REAL.md","40B6A90F1CA5B0BF4AB4177F24A9E3EB109411B1DEDCBC76CA54BA814F84D7DA","6,67","operational-doc"
"SPRINT_62_SIMULADOR_DECISAO.md","C:\unificard\docs\02_decisions\SPRINT_62_SIMULADOR_DECISAO.md","BEE470C595113417BDC4E2D3D18C46BF7EDA08EB6CD2347F844BE130C88F3C61","7,47","operational-doc"
"SPRINT_63_ESTRATEGIA_PRECO.md","C:\unificard\docs\02_decisions\SPRINT_63_ESTRATEGIA_PRECO.md","4BE7760503AE199B7114823EAB441C155764608FB7918E7CB211D46C94FEC7D6","6,88","operational-doc"
"SPRINT_65_AUDITORIA_HARDENING_LOGICO.md","C:\unificard\docs\02_decisions\SPRINT_65_AUDITORIA_HARDENING_LOGICO.md","1FB65CF97EC3F9AA5DC91C9A35C5517A6152AC8129C5B46682B77512A710618C","29,98","operational-doc"
"SPRINT_66_HARDENING_LOGICO.md","C:\unificard\docs\02_decisions\SPRINT_66_HARDENING_LOGICO.md","EA832351AFE82FADCC89D46BDD0DE0E770CF015F7C048BCCA256A9037A693ADB","18,71","operational-doc"
"SPRINT_68_SERVICE_ORDERS_AGENDA.md","C:\unificard\docs\02_decisions\SPRINT_68_SERVICE_ORDERS_AGENDA.md","D7115BE088E3996851E9A8A718BC34906A65C4E53CE45C4320BC70019FF40B1C","13","operational-doc"
"SPRINT_69_SUPPLIERS_PURCHASE_ORDERS.md","C:\unificard\docs\02_decisions\SPRINT_69_SUPPLIERS_PURCHASE_ORDERS.md","6F5514A3BD6310A528224A7E9C898701342DF098B17EB98C97BD0868AB01A5AF","14,09","operational-doc"
"SPRINT_70_ACCOUNTS_PAYABLE.md","C:\unificard\docs\02_decisions\SPRINT_70_ACCOUNTS_PAYABLE.md","2A6131AE94D493552A037B3D290331487D8A86EDC71551DEE7563BDF94A92595","12,9","operational-doc"
"SPRINT_71_ACCOUNTS_RECEIVABLE.md","C:\unificard\docs\02_decisions\SPRINT_71_ACCOUNTS_RECEIVABLE.md","D0CCE837F9EEE6CE24EB54297F8E5257B5DECFE44B5D4EC67B186604E5297C5E","10,81","operational-doc"
"SPRINT_72_PAYMENT_METHODS_UNIFYCARD.md","C:\unificard\docs\02_decisions\SPRINT_72_PAYMENT_METHODS_UNIFYCARD.md","5D084306FAECB6180DD6A9D983770D29E9E6DB98EBE053614AA5F663095B5CA3","9,59","operational-doc"
"SPRINT_73_UNIFYCARD_ACQUIRING.md","C:\unificard\docs\02_decisions\SPRINT_73_UNIFYCARD_ACQUIRING.md","C6938A988E7E0102B4C92817F7C20301011246B923A92794F2FB2CE1958634E4","8,56","operational-doc"
"SPRINT_74_GROUPS_INDICACOES_COMISSOES.md","C:\unificard\docs\02_decisions\SPRINT_74_GROUPS_INDICACOES_COMISSOES.md","8192D5B93B562F0D478076A77919B80BC5FA841E21175EAB999B6A15AE3F3EAE","8,61","operational-doc"
"SPRINT_75_ERP_PERFIS_REGIME_TRIBUTARIO.md","C:\unificard\docs\02_decisions\SPRINT_75_ERP_PERFIS_REGIME_TRIBUTARIO.md","7D0FED68ED9BB58F94F40CC45F09B871AEBFA778CDC27AF0FB7DF95AB7DA0E78","6,45","operational-doc"
"SPRINT_76_EVENTS_TICKETING.md","C:\unificard\docs\02_decisions\SPRINT_76_EVENTS_TICKETING.md","9936FCFCFD3B8B1314FD73A5B505BB6921A43923D3C1AD8CBF9641FAFDC29DED","10,59","operational-doc"
"SPRINT_77_SETTLEMENT_REGIONAL.md","C:\unificard\docs\02_decisions\SPRINT_77_SETTLEMENT_REGIONAL.md","F9571A87001502B02E1514E3C4E6075EBD90B97B1892C3909212B4CE3B9D2F6F","8,3","operational-doc"
"SPRINT_79_PAGINAS_PUBLICAS.md","C:\unificard\docs\02_decisions\SPRINT_79_PAGINAS_PUBLICAS.md","09D21FAB26DFCD44112A60BF9E3DE9A2B17843B143191954B4A7944AD5A9541B","8,17","operational-doc"
"SPRINT_80_FISCAL_REGIME_TRIBUTARIO.md","C:\unificard\docs\02_decisions\SPRINT_80_FISCAL_REGIME_TRIBUTARIO.md","D16E73D8799090A3207D74DA83CE5677E0CE28610398F822ECA8A6AEAFA8A49B","7,85","operational-doc"
"SPRINT_81_ERP_POR_SEGMENTO.md","C:\unificard\docs\02_decisions\SPRINT_81_ERP_POR_SEGMENTO.md","9B3112106FDAA51BA8FE4E5507BCD624AD74305EFE6D42F36B7B13B82094972D","6,78","operational-doc"
"SPRINT_82_UNIFYCARD_MULTI_METODOS.md","C:\unificard\docs\02_decisions\SPRINT_82_UNIFYCARD_MULTI_METODOS.md","320192F58A8A01DFC04A4A22F37CDCEC29236ED95E5DE0A53FCBF40300F7A900","7,66","operational-doc"
"SPRINT_83_TAXA_REGIONAL_ECONOMIA_COMUNITARIA.md","C:\unificard\docs\02_decisions\SPRINT_83_TAXA_REGIONAL_ECONOMIA_COMUNITARIA.md","C99A77406260003014B1C308D89D85C4708A88C4C77E473268137A537DACDE55","3,59","operational-doc"
"SPRINT_84_EVENT_BILHETERIA_E_SETTLEMENT.md","C:\unificard\docs\02_decisions\SPRINT_84_EVENT_BILHETERIA_E_SETTLEMENT.md","921D451AB5590C61614CF791A14221F1E04F79FFF7298CE9F00BD5383B41EDAF","3,68","operational-doc"
"SPRINT_84_KYC_BASICO.md","C:\unificard\docs\02_decisions\SPRINT_84_KYC_BASICO.md","DF52641FBB6F575834E36F2293B8D06CE57EE3070CDA29C80ABDA2CE00F7FFFE","7,63","operational-doc"
"SPRINT_85_AGENDA_FINANCEIRA.md","C:\unificard\docs\02_decisions\SPRINT_85_AGENDA_FINANCEIRA.md","AECA863F8743EB5213F4735A6698F14D828D243B106B0549FF98A8805A8C66D8","3,19","operational-doc"
"SPRINT_85_PIX_INTEGRATION.md","C:\unificard\docs\02_decisions\SPRINT_85_PIX_INTEGRATION.md","D39B6F4EE1EFA0E92B4E752C60766D7808C1EBC76CB14073CC46D558CAE83C71","8,92","operational-doc"
"SPRINT_86_PAYMENT_LINKS.md","C:\unificard\docs\02_decisions\SPRINT_86_PAYMENT_LINKS.md","603F01954F2D7C597B5826AB1711A8867E967A5469B94EF1F697D31AB5BADA36","9,06","operational-doc"
"SPRINT_87_ASSINATURAS.md","C:\unificard\docs\02_decisions\SPRINT_87_ASSINATURAS.md","8111DE18A543E0674E31B1E0DF2BA033FDAC1ED1A950B54E4B4537EB74EC074C","11,12","operational-doc"
"SPRINT_92_MENU_COMANDA_QR.md","C:\unificard\docs\02_decisions\SPRINT_92_MENU_COMANDA_QR.md","B9FABB96F6D4649B234A6A0E6DB24F941E14C1125246CE7CF5C255C289A1F90B","8,93","operational-doc"
"SPRINT_93_LOYALTY.md","C:\unificard\docs\02_decisions\SPRINT_93_LOYALTY.md","FDB18FB04A4F9FFB3FC7A72DEDD00A4A80DDAAFDBB341CC5D87AF00EB61DCAF1","12,05","operational-doc"
"SPRINT_94_PRESENCA_CHECKIN_PROMO.md","C:\unificard\docs\02_decisions\SPRINT_94_PRESENCA_CHECKIN_PROMO.md","BF2D61A506314091B72BD8202CE49D953BFE3F7FA095704F57EE0B5904282B25","10,86","operational-doc"
"SPRINT_95_LOCAL_CHAT_LIVE_PRESENCE.md","C:\unificard\docs\02_decisions\SPRINT_95_LOCAL_CHAT_LIVE_PRESENCE.md","A287773BAE350C6ABEA2D4FC251BD42821E3AD21F6DAB34579DFC1BFE69F83B6","11,04","operational-doc"
"configurar_auto_start_windows.md","C:\unificard\docs\03_technical\configurar_auto_start_windows.md","F80EE0289E4F9768646AACDEF686149319CECBCEB16D80CD03AF83B4690443A8","7,25","operational-doc"
"GOLDEN_PATH.md","C:\unificard\docs\03_technical\GOLDEN_PATH.md","FE9B25C56CF837EAA3C8E1F803F7F60E678F60649CC42112322CE529D75C3303","2,6","discard-token"
"restart-unificard.ps1","C:\unificard\docs\03_technical\restart-unificard.ps1","65DF306D1848EC1E0845523AA4294E796188A12F46B5E1D90950052D86A54D42","1,91","operational-doc"
"START_HERE_UNIFICARD.md","C:\unificard\docs\03_technical\START_HERE_UNIFICARD.md","F9D9730AA7427777D865527C546AFFA91D7C0D96170EFC69073CD8603AEF3177","1,69","operational-doc"
"start-backend.ps1","C:\unificard\docs\03_technical\start-backend.ps1","801A49EFB727DDE985F19347A8D5050B1EF1BA8FD5C000ED8131803C8B16029B","0,57","operational-doc"
"start-unificard-silent.ps1","C:\unificard\docs\03_technical\start-unificard-silent.ps1","6D2D7CD865509F17779F89AA6D0C9266BE7B95692AFC5D751AB1AC0161880FA8","2,31","operational-doc"
"start-unificard.ps1","C:\unificard\docs\03_technical\start-unificard.ps1","72E43F7036A66D384501B3E17534D9C4D86CBB1B9DB3467CA82B77E60FC109E1","5,67","operational-doc"
"QUICK_START.md","C:\unificard\docs\04_guides\QUICK_START.md","A5FC7E59B1F96B4BAFC56370BFCFFBDA1B9BF1C1A68B5DF0B6E6816B04D64767","2,17","operational-doc"
"readme_auto_start_20260122-073046.md","C:\unificard\docs\04_guides\readme_auto_start_20260122-073046.md","856E719DAE9827228CEB7A80FC473CD5DBEA293C4FC5B0F4B699D469250D93B5","3,53","operational-doc"
"resumo_sistema_auto_start.md","C:\unificard\docs\04_guides\resumo_sistema_auto_start.md","DA45B31F4B63B5DDECCD6B362C5F6D7127489E3DCF5EB5C65D0CE4E2CE419752","4,82","operational-doc"
