"FileName","FullPath","Class","SizeKB","LastChange","Reasons"
"SPRINT_47_SOCIAL_MARKETPLACE_PLUGIN.md","C:\unificard\docs\SPRINT_47_SOCIAL_MARKETPLACE_PLUGIN.md","decisions","6,59","16/01/2026 21:35:29","decision-operational"
"SPRINT_48_PRICING.md","C:\unificard\docs\SPRINT_48_PRICING.md","decisions","7,43","16/01/2026 21:35:29","decision-operational"
"SPRINT_49_DASHBOARDS.md","C:\unificard\docs\SPRINT_49_DASHBOARDS.md","decisions","6,43","16/01/2026 21:35:29","decision-operational"
"SPRINT_50_AUTOMACOES.md","C:\unificard\docs\SPRINT_50_AUTOMACOES.md","decisions","8,55","16/01/2026 21:35:29","decision-operational"
"SPRINT_51_MULTI_EMPRESA.md","C:\unificard\docs\SPRINT_51_MULTI_EMPRESA.md","decisions","9,95","16/01/2026 21:35:29","decision-operational"
"SPRINT_52_PERFORMANCE_HARDENING.md","C:\unificard\docs\SPRINT_52_PERFORMANCE_HARDENING.md","decisions","6,95","16/01/2026 21:35:29","decision-operational"
"SPRINT_53_FISCAL_PROVIDER_SEFAZ.md","C:\unificard\docs\SPRINT_53_FISCAL_PROVIDER_SEFAZ.md","decisions","6,74","16/01/2026 21:35:29","decision-operational"
"SPRINT_54_FULFILLMENT.md","C:\unificard\docs\SPRINT_54_FULFILLMENT.md","decisions","6,43","16/01/2026 21:35:29","decision-operational"
"SPRINT_55_STOCK_TRANSFER.md","C:\unificard\docs\SPRINT_55_STOCK_TRANSFER.md","decisions","6,85","16/01/2026 21:35:29","decision-operational"
"SPRINT_56_RECEBIMENTO_CONFERENCIA.md","C:\unificard\docs\SPRINT_56_RECEBIMENTO_CONFERENCIA.md","decisions","7,51","16/01/2026 21:35:29","decision-operational"
"SPRINT_57_AJUSTES_ESTOQUE.md","C:\unificard\docs\SPRINT_57_AJUSTES_ESTOQUE.md","decisions","6,29","16/01/2026 21:35:29","decision-operational"
"SPRINT_58_SLA_LOGISTICO.md","C:\unificard\docs\SPRINT_58_SLA_LOGISTICO.md","decisions","6","16/01/2026 21:35:29","decision-operational"
"SPRINT_59_SUGESTAO_REPOSICAO.md","C:\unificard\docs\SPRINT_59_SUGESTAO_REPOSICAO.md","decisions","7,3","16/01/2026 21:35:29","decision-operational"
"SPRINT_60_CUSTO_ESTOQUE_PARADO.md","C:\unificard\docs\SPRINT_60_CUSTO_ESTOQUE_PARADO.md","decisions","6,62","16/01/2026 21:35:29","decision-operational"
"SPRINT_61_MARGEM_REAL.md","C:\unificard\docs\SPRINT_61_MARGEM_REAL.md","decisions","6,67","16/01/2026 21:35:29","decision-operational"
"SPRINT_62_SIMULADOR_DECISAO.md","C:\unificard\docs\SPRINT_62_SIMULADOR_DECISAO.md","decisions","7,47","16/01/2026 21:35:29","decision-operational"
"SPRINT_63_ESTRATEGIA_PRECO.md","C:\unificard\docs\SPRINT_63_ESTRATEGIA_PRECO.md","decisions","6,88","16/01/2026 21:35:29","decision-operational"
"SPRINT_65_AUDITORIA_HARDENING_LOGICO.md","C:\unificard\docs\SPRINT_65_AUDITORIA_HARDENING_LOGICO.md","decisions","29,98","16/01/2026 21:35:29","decision-operational"
"SPRINT_66_HARDENING_LOGICO.md","C:\unificard\docs\SPRINT_66_HARDENING_LOGICO.md","decisions","18,71","16/01/2026 21:35:29","decision-operational"
"SPRINT_68_SERVICE_ORDERS_AGENDA.md","C:\unificard\docs\SPRINT_68_SERVICE_ORDERS_AGENDA.md","decisions","13","16/01/2026 21:35:29","decision-operational"
"SPRINT_69_SUPPLIERS_PURCHASE_ORDERS.md","C:\unificard\docs\SPRINT_69_SUPPLIERS_PURCHASE_ORDERS.md","decisions","14,09","16/01/2026 21:35:29","decision-operational"
"SPRINT_70_ACCOUNTS_PAYABLE.md","C:\unificard\docs\SPRINT_70_ACCOUNTS_PAYABLE.md","decisions","12,9","16/01/2026 21:35:29","decision-operational"
"SPRINT_71_ACCOUNTS_RECEIVABLE.md","C:\unificard\docs\SPRINT_71_ACCOUNTS_RECEIVABLE.md","decisions","10,81","16/01/2026 21:35:29","decision-operational"
"SPRINT_72_PAYMENT_METHODS_UNIFYCARD.md","C:\unificard\docs\SPRINT_72_PAYMENT_METHODS_UNIFYCARD.md","decisions","9,59","16/01/2026 21:35:29","decision-operational"
"SPRINT_73_UNIFYCARD_ACQUIRING.md","C:\unificard\docs\SPRINT_73_UNIFYCARD_ACQUIRING.md","decisions","8,56","16/01/2026 21:35:29","decision-operational"
"SPRINT_74_GROUPS_INDICACOES_COMISSOES.md","C:\unificard\docs\SPRINT_74_GROUPS_INDICACOES_COMISSOES.md","decisions","8,61","16/01/2026 21:35:29","decision-operational"
"SPRINT_75_ERP_PERFIS_REGIME_TRIBUTARIO.md","C:\unificard\docs\SPRINT_75_ERP_PERFIS_REGIME_TRIBUTARIO.md","decisions","6,45","16/01/2026 21:35:29","decision-operational"
"SPRINT_76_EVENTS_TICKETING.md","C:\unificard\docs\SPRINT_76_EVENTS_TICKETING.md","decisions","10,59","16/01/2026 21:35:29","decision-operational"
"SPRINT_77_SETTLEMENT_REGIONAL.md","C:\unificard\docs\SPRINT_77_SETTLEMENT_REGIONAL.md","decisions","8,3","16/01/2026 21:35:29","decision-operational"
"SPRINT_79_PAGINAS_PUBLICAS.md","C:\unificard\docs\SPRINT_79_PAGINAS_PUBLICAS.md","decisions","8,17","16/01/2026 21:35:29","decision-operational"
"SPRINT_80_FISCAL_REGIME_TRIBUTARIO.md","C:\unificard\docs\SPRINT_80_FISCAL_REGIME_TRIBUTARIO.md","decisions","7,85","16/01/2026 21:35:29","decision-operational"
"SPRINT_81_ERP_POR_SEGMENTO.md","C:\unificard\docs\SPRINT_81_ERP_POR_SEGMENTO.md","decisions","6,78","16/01/2026 21:35:29","decision-operational"
"SPRINT_82_UNIFYCARD_MULTI_METODOS.md","C:\unificard\docs\SPRINT_82_UNIFYCARD_MULTI_METODOS.md","decisions","7,66","16/01/2026 21:35:29","decision-operational"
"SPRINT_83_TAXA_REGIONAL_ECONOMIA_COMUNITARIA.md","C:\unificard\docs\SPRINT_83_TAXA_REGIONAL_ECONOMIA_COMUNITARIA.md","decisions","3,59","16/01/2026 21:35:29","decision-operational"
"SPRINT_84_EVENT_BILHETERIA_E_SETTLEMENT.md","C:\unificard\docs\SPRINT_84_EVENT_BILHETERIA_E_SETTLEMENT.md","decisions","3,68","16/01/2026 21:35:29","decision-operational"
"SPRINT_84_KYC_BASICO.md","C:\unificard\docs\SPRINT_84_KYC_BASICO.md","decisions","7,63","16/01/2026 21:35:29","decision-operational"
"SPRINT_85_AGENDA_FINANCEIRA.md","C:\unificard\docs\SPRINT_85_AGENDA_FINANCEIRA.md","decisions","3,19","16/01/2026 21:35:29","decision-operational"
"SPRINT_85_PIX_INTEGRATION.md","C:\unificard\docs\SPRINT_85_PIX_INTEGRATION.md","decisions","8,92","16/01/2026 21:35:29","decision-operational"
"SPRINT_86_PAYMENT_LINKS.md","C:\unificard\docs\SPRINT_86_PAYMENT_LINKS.md","decisions","9,06","16/01/2026 21:35:29","decision-operational"
"SPRINT_87_ASSINATURAS.md","C:\unificard\docs\SPRINT_87_ASSINATURAS.md","decisions","11,12","16/01/2026 21:35:29","decision-operational"
"SPRINT_92_MENU_COMANDA_QR.md","C:\unificard\docs\SPRINT_92_MENU_COMANDA_QR.md","decisions","8,93","16/01/2026 21:35:30","decision-operational"
